"x"	"f(x)"	"analytical f'(x)"	"numerical f'(x)"	"analytical f''(x)"	"numerical f''(x)"
1.420000	-0.101520	-0.140194	-0.138295	0.381908	0.375722
1.430000	-0.102903	-0.136406	-0.134538	0.375715	0.369614
1.440000	-0.104248	-0.132680	-0.130842	0.369607	0.363591
1.450000	-0.105557	-0.129014	-0.127206	0.363584	0.357651
1.460000	-0.106829	-0.125408	-0.123629	0.357644	0.351793
1.470000	-0.108065	-0.121861	-0.120111	0.351786	0.346016
1.480000	-0.109266	-0.118372	-0.116651	0.346009	0.340319
1.490000	-0.110433	-0.114940	-0.113248	0.340313	0.334702
1.500000	-0.111565	-0.111565	-0.109901	0.334695	0.329162
1.510000	-0.112664	-0.108246	-0.106609	0.329156	0.323700
1.520000	-0.113730	-0.104982	-0.103372	0.323694	0.318314
1.530000	-0.114764	-0.101772	-0.100189	0.318307	0.313003
1.540000	-0.115766	-0.098615	-0.097059	0.312996	0.307766
1.550000	-0.116736	-0.095512	-0.093981	0.307760	0.302602
1.560000	-0.117676	-0.092460	-0.090955	0.302596	0.297511
1.570000	-0.118586	-0.089459	-0.087980	0.297505	0.292491
1.580000	-0.119466	-0.086510	-0.085055	0.292485	0.287541
1.590000	-0.120316	-0.083610	-0.082180	0.287535	0.282661
1.600000	-0.121138	-0.080759	-0.079353	0.282655	0.277849
1.610000	-0.121931	-0.077956	-0.076575	0.277844	0.273106
1.620000	-0.122697	-0.075202	-0.073844	0.273100	0.268429
1.630000	-0.123436	-0.072494	-0.071160	0.268424	0.263818
1.640000	-0.124147	-0.069833	-0.068521	0.263813	0.259273
1.650000	-0.124832	-0.067217	-0.065929	0.259267	0.254792
1.660000	-0.125492	-0.064647	-0.063381	0.254786	0.250374
1.670000	-0.126126	-0.062122	-0.060877	0.250369	0.246019
1.680000	-0.126734	-0.059640	-0.058417	0.246014	0.241726
1.690000	-0.127318	-0.057201	-0.056000	0.241721	0.237494
1.700000	-0.127878	-0.054805	-0.053625	0.237489	0.233322
1.710000	-0.128415	-0.052451	-0.051291	0.233317	0.229210
1.720000	-0.128928	-0.050139	-0.048999	0.229205	0.225156
1.730000	-0.129418	-0.047867	-0.046748	0.225151	0.221160
1.740000	-0.129885	-0.045635	-0.044536	0.221156	0.217222
